index,Duration,Total stops,Price,Average Price Per Airlines,Source_NRT,Source_TPE,Destination_NRT,Destination_TPE
6,210,0.0,235.0,386.3411214953271,1,0,0,1
7,230,0.0,279.0,395.2901069518717,1,0,0,1
8,220,0.0,258.0,386.3411214953271,1,0,0,1
9,220,0.0,326.0,408.04664179104475,1,0,0,1
12,225,0.0,329.0,505.3943396226415,1,0,0,1
22,230,0.0,279.0,395.2901069518717,1,0,0,1
23,220,0.0,235.0,386.3411214953271,1,0,0,1
24,210,0.0,258.0,386.3411214953271,1,0,0,1
25,220,0.0,326.0,408.04664179104475,1,0,0,1
26,225,0.0,317.0,505.3943396226415,1,0,0,1
27,225,0.0,279.0,395.2901069518717,1,0,0,1
29,235,0.0,230.0,425.8984375,1,0,0,1
36,230,0.0,279.0,395.2901069518717,1,0,0,1
37,210,0.0,261.0,386.3411214953271,1,0,0,1
38,220,0.0,261.0,386.3411214953271,1,0,0,1
39,230,0.0,292.0,395.2901069518717,1,0,0,1
40,220,0.0,326.0,408.04664179104475,1,0,0,1
43,225,0.0,333.0,505.3943396226415,1,0,0,1
47,470,1.0,343.0,361.3519553072626,1,0,0,1
52,235,0.0,168.0,226.32091690544414,1,0,0,1
53,235,0.0,230.0,425.8984375,1,0,0,1
54,235,0.0,215.0,226.32091690544414,1,0,0,1
55,225,0.0,279.0,395.2901069518717,1,0,0,1
56,220,0.0,326.0,408.04664179104475,1,0,0,1
57,210,0.0,286.0,386.3411214953271,1,0,0,1
58,220,0.0,314.0,386.3411214953271,1,0,0,1
59,225,0.0,430.0,505.3943396226415,1,0,0,1
61,230,0.0,325.0,395.2901069518717,1,0,0,1
64,215,0.0,186.0,213.1283783783784,1,0,0,1
66,230,0.0,194.0,200.2774193548387,1,0,0,1
67,235,0.0,211.0,211.75057736720555,1,0,0,1
68,230,0.0,347.0,395.2901069518717,1,0,0,1
69,220,0.0,326.0,408.04664179104475,1,0,0,1
70,220,0.0,415.0,408.04664179104475,1,0,0,1
73,210,0.0,367.0,386.3411214953271,1,0,0,1
74,220,0.0,415.0,386.3411214953271,1,0,0,1
76,470,1.0,343.0,361.3519553072626,1,0,0,1
77,630,1.0,314.0,311.6,1,0,0,1
78,1320,1.0,242.0,230.22916666666666,1,0,0,1
83,235,0.0,216.0,425.8984375,1,0,0,1
85,235,0.0,199.0,226.32091690544414,1,0,0,1
87,225,0.0,271.0,395.2901069518717,1,0,0,1
88,230,0.0,293.0,395.2901069518717,1,0,0,1
89,220,0.0,335.0,408.04664179104475,1,0,0,1
90,230,0.0,284.0,395.2901069518717,1,0,0,1
91,210,0.0,313.0,386.3411214953271,1,0,0,1
92,220,0.0,326.0,408.04664179104475,1,0,0,1
93,220,0.0,357.0,386.3411214953271,1,0,0,1
99,230,0.0,161.0,200.2774193548387,1,0,0,1
100,235,0.0,168.0,226.32091690544414,1,0,0,1
101,235,0.0,230.0,425.8984375,1,0,0,1
102,235,0.0,215.0,226.32091690544414,1,0,0,1
103,220,0.0,326.0,408.04664179104475,1,0,0,1
104,230,0.0,347.0,395.2901069518717,1,0,0,1
105,230,0.0,301.0,395.2901069518717,1,0,0,1
108,220,0.0,357.0,386.3411214953271,1,0,0,1
109,225,0.0,425.0,505.3943396226415,1,0,0,1
110,210,0.0,334.0,386.3411214953271,1,0,0,1
115,230,0.0,161.0,200.2774193548387,1,0,0,1
116,220,0.0,326.0,408.04664179104475,1,0,0,1
